username,password,claims
user0,user0,http://wso2.org/claims/role=Internal/subscriber
user1,user1,http://wso2.org/claims/role=Internal/subscriber
user2,user2,http://wso2.org/claims/role=Internal/subscriber
user3,user3,http://wso2.org/claims/role=Internal/subscriber
user4,user4,http://wso2.org/claims/role=Internal/subscriber
user5,user5,http://wso2.org/claims/role=Internal/subscriber
user6,user6,http://wso2.org/claims/role=Internal/subscriber
user7,user7,http://wso2.org/claims/role=Internal/subscriber
user8,user8,http://wso2.org/claims/role=Internal/subscriber
user9,user9,http://wso2.org/claims/role=Internal/subscriber
user10,user10,http://wso2.org/claims/role=Internal/subscriber
user11,user11,http://wso2.org/claims/role=Internal/subscriber
user12,user12,http://wso2.org/claims/role=Internal/subscriber
user13,user13,http://wso2.org/claims/role=Internal/subscriber
user14,user14,http://wso2.org/claims/role=Internal/subscriber
user15,user15,http://wso2.org/claims/role=Internal/subscriber
user16,user16,http://wso2.org/claims/role=Internal/subscriber
user17,user17,http://wso2.org/claims/role=Internal/subscriber
user18,user18,http://wso2.org/claims/role=Internal/subscriber
user19,user19,http://wso2.org/claims/role=Internal/subscriber
user20,user20,http://wso2.org/claims/role=Internal/subscriber
user21,user21,http://wso2.org/claims/role=Internal/subscriber
user22,user22,http://wso2.org/claims/role=Internal/subscriber
user23,user23,http://wso2.org/claims/role=Internal/subscriber
user24,user24,http://wso2.org/claims/role=Internal/subscriber
user25,user25,http://wso2.org/claims/role=Internal/subscriber
user26,user26,http://wso2.org/claims/role=Internal/subscriber
user27,user27,http://wso2.org/claims/role=Internal/subscriber
user28,user28,http://wso2.org/claims/role=Internal/subscriber
user29,user29,http://wso2.org/claims/role=Internal/subscriber
user30,user30,http://wso2.org/claims/role=Internal/subscriber
user31,user31,http://wso2.org/claims/role=Internal/subscriber
user32,user32,http://wso2.org/claims/role=Internal/subscriber
user33,user33,http://wso2.org/claims/role=Internal/subscriber
user34,user34,http://wso2.org/claims/role=Internal/subscriber
user35,user35,http://wso2.org/claims/role=Internal/subscriber
user36,user36,http://wso2.org/claims/role=Internal/subscriber
user37,user37,http://wso2.org/claims/role=Internal/subscriber
user38,user38,http://wso2.org/claims/role=Internal/subscriber
user39,user39,http://wso2.org/claims/role=Internal/subscriber
